CD_TIP_PRC,NM_TIP_PRC
8886,"PROGER URBANO SISTEMAS E METODOS"
8887,"REFINANCIMENTO PROGER URBANO EMPRESARIAL"
8888,"REFINANCIMENTO PROGER URBANO COOPERFAT"
8889,"PROGER EXPORTA«√O"
8890,"FCO EMPRESARIAL"
8891,"BNDES CAPITAL DE GIRO PROGEREN"
12300,"ADMINISTRACAO DE HAVERES DO FAMPE"
12301,"ADMINISTRACAO DE HAVERES DO FUNPROGER"
12302,"BB CREDITO IMOBILIARIO-AQUISICAO PF-SFH"
12303,"BB FCO DESENVOLVIMENTO COMERCIAL E DE SERVICOS"
12304,"BB FCO PROGRAMA DE DESENV. TURISMO REGIONAL"
12305,"BB FCO PROGRAMA DE DESENVOLVIMENTO INDUSTRIAL"
12306,"BB FCO PROGRAMA DE INFRA-ESTRUTURA ECONOMICA"
12307,"BB GIRO APL"
12308,"BB GIRO CARTOES"
12309,"BB GIRO DECIMO TERCEIRO SALARIO"
12310,"BB GIRO DIGITAL"
12311,"BB GIRO FAT TURISMO - PROGER URBANO"
12312,"BB GIRO FCO"
12313,"BB GIRO MIX PASEP"
12314,"BB PRONAF CUSTEIO - AGRICULTOR FAMILIAR"
12315,"BB PRONAF MAIS ALIMENTOS"
12316,"DESCONTO DE TITULOS"
12317,"PARCELAMENTO - MERCADO"
12318,"PROGER EXPORTACAO"
12319,"PROGER TURISMO"
12320,"PROGER URBANO EMPRESARIAL - JOVEM EMPREENDEDOR"
12321,"PROGER URBANO EMPRESARIAL - NOVOS EMPREENDEDORES"
12322,"PROGER URBANO EMPRESARIAL - REFINANCIAMENTO"
12323,"PRONAMP CUSTEIO"
12324,"REESCALONAMENTO PJ"
12325,"RENEGOCIACAO ESPECIAL"
12326,"RENEGOCIACAO FUNDOS GARANTIDORES HONRADOS"
12327,"RENEGOCIACAO MASSIFICADA PF/ PJ"
8892,"PROGER URBANO EMPRESARIAL"
8893,"PROGER URBANO TURISMO INVESTIMENTO"
8894,"PROGER URBANO COOPERFAT"
8895,"PROGER URBANO SISTEMAS E METODOS"
8896,"REFINANCIMENTO PROGER URBANO EMPRESARIAL"
8897,"REFINANCIMENTO PROGER URBANO COOPERFAT"
8898,"PROGER EXPORTA«√O"
8899,"FCO EMPRESARIAL"
8900,"BNDES CAPITAL DE GIRO PROGEREN"
9014,"BNDES CAPITAL DE GIRO PROGEREN"
9015,"FCO EMPRESARIAL"
9016,"PROGER EXPORTA«√O"
9017,"PROGER URBANO COOPERFAT"
9018,"PROGER URBANO EMPRESARIAL"
9019,"PROGER URBANO SISTEMAS E METODOS"
9020,"PROGER URBANO TURISMO INVESTIMENTO"
9021,"REFINANCIAMENTO PROGER URBANO COOPERFAT"
9022,"REFINANCIAMENTO PROGER URBANO EMPRESARIAL"
12328,"ADMINISTRACAO DE HAVERES DO FAMPE"
12329,"ADMINISTRACAO DE HAVERES DO FUNPROGER"
12330,"BB CREDITO IMOBILIARIO-AQUISICAO PF-SFH"
12331,"BB FCO DESENVOLVIMENTO COMERCIAL E DE SERVICOS"
12332,"BB FCO PROGRAMA DE DESENV. TURISMO REGIONAL"
12333,"BB FCO PROGRAMA DE DESENVOLVIMENTO INDUSTRIAL"
12334,"BB FCO PROGRAMA DE INFRA-ESTRUTURA ECONOMICA"
12335,"BB GIRO APL"
12336,"BB GIRO CARTOES"
12337,"BB GIRO DECIMO TERCEIRO SALARIO"
12338,"BB GIRO DIGITAL"
12339,"BB GIRO FAT TURISMO - PROGER URBANO"
12340,"BB GIRO FCO"
12341,"BB GIRO MIX PASEP"
12342,"BB PRONAF CUSTEIO - AGRICULTOR FAMILIAR"
12343,"BB PRONAF MAIS ALIMENTOS"
12344,"DESCONTO DE TITULOS"
12345,"PARCELAMENTO - MERCADO"
12346,"PROGER EXPORTACAO"
12347,"PROGER TURISMO"
12348,"PROGER URBANO EMPRESARIAL - JOVEM EMPREENDEDOR"
12349,"PROGER URBANO EMPRESARIAL - NOVOS EMPREENDEDORES"
12350,"PROGER URBANO EMPRESARIAL - REFINANCIAMENTO"
12351,"PRONAMP CUSTEIO"
12352,"REESCALONAMENTO PJ"
12353,"RENEGOCIACAO ESPECIAL"
12354,"RENEGOCIACAO FUNDOS GARANTIDORES HONRADOS"
12355,"RENEGOCIACAO MASSIFICADA PF/ PJ"
10818,"PROGER URBANO EMPRESARIAL"
10819,"PROGER URBANO TURISMO INVESTIMENTO"
10820,"PROGER URBANO COOPERFAT"
10821,"PROGER URBANO SISTEMAS E METODOS"
10822,"REFINANCIAMENTO PROGER URBANO EMPRESARIAL"
10823,"REFINANCIAMENTO PROGER URBANO COOPERFAT"
10824,"PROGER EXPORTA«√O"
10825,"FCO EMPRESARIAL"
10826,"BNDES CAPITAL DE GIRO PROGEREN"
12272,"ADMINISTRACAO DE HAVERES DO FAMPE"
12273,"ADMINISTRACAO DE HAVERES DO FUNPROGER"
12274,"BB CREDITO IMOBILIARIO-AQUISICAO PF-SFH"
12275,"BB FCO DESENVOLVIMENTO COMERCIAL E DE SERVICOS"
12276,"BB FCO PROGRAMA DE DESENV. TURISMO REGIONAL"
12277,"BB FCO PROGRAMA DE DESENVOLVIMENTO INDUSTRIAL"
12278,"BB FCO PROGRAMA DE INFRA-ESTRUTURA ECONOMICA"
12279,"BB GIRO APL"
12280,"BB GIRO CARTOES"
12281,"BB GIRO DIGITAL"
12282,"BB GIRO DECIMO TERCEIRO SALARIO"
12283,"BB GIRO FAT TURISMO - PROGER URBANO"
12284,"BB GIRO FCO"
12285,"BB GIRO MIX PASEP"
12286,"BB PRONAF CUSTEIO - AGRICULTOR FAMILIAR"
12287,"BB PRONAF MAIS ALIMENTOS"
12288,"DESCONTO DE TITULOS"
12289,"PARCELAMENTO - MERCADO"
12290,"PROGER EXPORTACAO"
12291,"PROGER TURISMO"
12292,"PROGER URBANO EMPRESARIAL - JOVEM EMPREENDEDOR"
12293,"PROGER URBANO EMPRESARIAL - NOVOS EMPREENDEDORES"
12294,"PROGER URBANO EMPRESARIAL - REFINANCIAMENTO"
12295,"PRONAMP CUSTEIO"
12296,"REESCALONAMENTO PJ"
12297,"RENEGOCIACAO ESPECIAL"
12298,"RENEGOCIACAO FUNDOS GARANTIDORES HONRADOS"
12299,"RENEGOCIACAO MASSIFICADA PF/ PJ"
11059,"OPERA«√O TN"
11060,"OPERA«√O BB"
11110,"BANCO DA TERRA"
11111,CACAU
11112,"CR…DITO FUNDI¡RIO"
11113,"FCO PRONAF"
11114,"FCO RURAL"
11115,FEAP
11116,"FUNCAF… DA«√O"
11117,PESA
11118,"PESA CACAU"
11119,PMV
11120,PRONAF
11121,RECOOP
11122,SECURITIZA«√O
11279,"ACOMPANHAR MANUTEN«√O DE EQUIPAMENTO"
11280,"ATUALIZAR BASE DE PLANILHAS DE ARQUIVAMENTO"
11281,"ATUALIZAR LOCALIZA«√O DE DOSSI S"
11282,"CENTRALIZAR OPERA«’ES"
11283,"CONCLUIR PROCESSO DE INSCRI«√O"
11284,"CONTROLAR ENTRADA E DISTRIBUI«√O"
11285,"ELABORAR RELAT”RIO DE CAPACIDADE OPERACIONAL"
11286,"EXPEDIR OU DISTRIBUIR PROTOCOLOS"
11287,"GERAR ETIQUETAS"
11288,"GERAR NOTIFICA«’ES MASSIFICADAS"
11289,"PAGAR DESPESAS CARTOR¡RIAS"
11290,"PESQUISAR DOCUMENTOS"
11291,"PGFN/INSCRI«√O - EXPEDIR COE"
11292,"PNCF - ARQUIVAR OPERA«’ES"
11293,"PUBLICA«√O EDITAL - ACOMPANHAR"
11294,"PUBLICA«√O EDITAL - EXPEDIR COE"
11295,"REALIZAR SERVI«OS EXTERNOS"
11296,"TRATAR DOSSI S"
11297,"TRATAR MIGRA«√O"
11298,"TRATAR PROTOCOLOS ABERTOS"
11299,"TRATAR PROTOCOLOS CONDUZIR"
11300,"TRIAR DEMANDAS"
11301,"TRIAR MALOTE"
11302,"TRIAR MENSAGENS"
11303,"VERIFICAR PEND NCIAS DE SUSPENS√O"
11304,"VERIFICAR PRESCRI«√O DE OPERA«’ES"
11305,"VINCULAR DEOC"
11715,"VERIFICAR DOU"
11716,"ATUALIZAR INFORMA«’ES - MENSAL"
11717,"ATUALIZAR INFORMA«’ES - TRIMESTRAL"
11718,"ATUALIZAR IGP-DI ALTERNATIVO"
11801,CAF
11802,FUNCAFE
11800,FUNCAFE
12033,SEC/PESA
12032,FUNCAFE
13945,AMORTIZAR
13946,LIQUIDAR
14004,"RISCO UNI√O"
14005,FAMPE
14650,"APURA«√O DE RISCO"
23632,"SOLICITAR HONRA AO BNDES"
23736,"PRESTA«√O DE CONTAS PGFN"
24171,"BANCO DA TERRA"
24172,CACAU
24173,"CR…DITO FUNDI¡RIO"
24174,"FCO PRONAF"
24175,"FCO RURAL"
24176,FEAP
24177,"FUNCAF… DA«√O"
24178,"OPERA«’ES ORIUNDAS DO BNC - CONDU«√O A/C DIGOV"
24179,PESA
24180,"PESA CACAU"
24181,"PESA RECURSOS FCO INTEGRAL"
24182,"PESA RECURSOS FCO MIXADO"
24183,PMV
24184,PROCERA
24185,PRODECER
24186,"PROGRAMA RECUP LAVOURA CACAUEIRA"
24213,PRONAF
24214,RECOOP
24215,"SECURITIZA«√O I"
24216,"SECURITIZA«√O I RECURSOS FCO INTEGRAL"
24217,"SECURITIZA«√O I FCO MIXADO"
24218,"SECURITIZA«√O II"
24219,"SECURITIZA«√O II RECURSOS FCO INTEGRAL"
24220,"SECURITIZA«√O II RECURSOS FCO MIXADO"
24221,"SECURITIZA«√O III"
24222,"SECURITIZA«√O III RECURSOS FCO INTEGRAL"
24223,"SECURITIZA«√O III RECURSOS FCO MIXADO"
24224,"SECURITIZA«√O IV"
24225,"SECURITIZA«√O IV RECURSOS FCO INTEGRAL"
24226,"SECURITIZA«√O IV RECURSOS FCO MIXADO"
24227,"SECURITIZA«√O RECURSOS FCO INTEGRAL"
24228,"SECURITIZA«√O RECURSOS FCO MIXADO"
1604,"PESSOA JURÕDICA"
1605,"SETOR PUBLICO"
1606,"PRODUTOR RURAL"
1607,ASSOCIA«’ES
1608,"ENTIDADE SISTEMA 'S'"
1743,"PESSOA FÕSICA"
1731,"RECLAMA«√O DE CLIENTE COM ANOTA«√O CADASTRAL NO BB"
1766,CADIN
2466,"BB INTERNA (010/167)"
8055,"EXCLUS√O CONSELHEIRO"
8056,"BAIXAR DAP"
8490,"PENALIDADE CDFMM"
8855,"ANOTA«√O 10 / 167"
10195,"IMPROBIDADE ADMINISTRATIVA"
11894,"TRABALHO ESCRAVO/DEGRADANTE"
16377,"ANOTA«√O 217"
16378,"ANOTA«√O 272"
16379,"ANOTA«√O 298 - BNC - RECLASSIFICA«√O DE ANOTA«√O"
16380,"ANOTA«√O 332 / 348 - RECLASSIFICA«√O DE ANOTA«’ES"
16381,"ANOTA«√O 165 279 215 E 280 (ATIVOS S/A)"
16382,"RESTRI«√O CART√O 156 - RAO"
16486,"ANOTA«√O 126 / 370"
1767,"DECIS√O LEGAL - IMPROBIDADE ADMINISTRATIVA"
2139,"DECIS√O LEGAL - DEMAIS"
2140,"IMPEDIMENTO ESTATUT¡RIO"
2141,"TRABALHO ESCRAVO/DEGRADANTE"
8054,"INCLUS√O CONSELHEIRO"
8489,"PENALIDADE CDFMM"
9401,"CONFIRMA«√O ENDERE«O - CORREIOS"
1768,"ANOTA«√O POR REVOGA«√O DE LIMINAR"
1769,SERASA
1770,SCPC
1771,"C”DIGO MCI"
1772,CADIN
2142,SERASA
8296,NOME/FILIA«√O
8297,CPF
8298,OCUPA«√O
10411,"GERA«√O DE MCI"
2290,TRADICIONAL
2291,MAIS
6679,ABACATE
6680,ABACAXI
6681,AB”BORA-MORANGA
6682,ABOBRINHA
6683,A«AFR√O
6684,A«AÕ
6685,ACELGA
6686,ACEROLA
6687,"AGAVE (SISAL)"
6688,AGRI√O
6689,AIPO
6690,ALCACHOFRA
6691,ALFACE
6692,ALFAFA
6693,"ALGICULTURA (Cultivo de Algas)"
6694,ALGOD√O
6695,ALHO
6696,ALMEIR√O
6697,AMEIXA
6698,AMENDOIM
6699,AMORA
6700,ANDIROBA
6701,ARROZ
6702,ASPARGO
6703,ATEMOIA
6704,AVEIA
6705,AZEVEM
6706,BABA«U
6707,BANANA
6708,BATATA-DOCE
6709,BATATA-INGLESA
6710,BERINJELA
6711,BETERRABA
6712,"BR”COLOS (BR”COLIS)"
6713,"BUCHA VEGETAL"
6714,CACAU
6715,CAF…
6716,CAJU
6717,CANA-DE-A«UCAR
6718,CANOLA
6719,CAPIM
6720,CAQUI
6721,CAR¡
6722,CARAMBOLA
6723,CARNA⁄BA
6724,CASTANHA-DO-BRASIL
6725,CEBOLA
6726,"CEBOLINHA VERDE"
6727,CEDRO
6728,CENOURA
6729,CENTEIO
6730,CEVADA
6731,CH¡
6732,CHERIMOIA
6733,CHICORIA
6734,CHUCHU
6735,CIDRA
6736,COCO
6737,COCO-DA-BAIA
6738,COENTRO
6739,COGUMELO
6740,COLZA
6741,COUVE
6742,COUVE-FLOR
6743,CRAVO
6744,CRIS¬NTEMO
6745,CUPUA«U
6746,CURAU¡
6747,DEND 
6748,"ERVA CIDREIRA (MELISSA)"
6749,ERVA-MATE
6750,ERVILHA
6751,ESCAROLA
6752,ESPINAFRE
6753,EST…VIA
6754,FAVA
6755,FEIJ√O
6756,FIGO
6757,FLORES
6758,FRUTAS
6759,FUMO
6760,GENGIBRE
6761,GERGELIM
6762,GIRASSOL
6763,GOIABA
6764,GRAMA
6765,GR√O-DE-BICO
6766,GRAVIOLA
6767,GUARAN¡
6768,GUARIROBA
6769,HORTALI«AS
6770,HORTEL√
6771,INHAME
6772,JABUTICABA
6773,JIL”
6774,JUTA
6775,LARANJA
6776,LENTILHA
6777,"LICHIA (LECHIA)"
6778,LIMA
6779,LIM√O
6780,LINHO
6781,L⁄PULO
6782,MA«√
6783,"MACAD¬MIA (NOZ-MACAD¬MIA)"
6784,MADEIRA
6785,MALVA
6786,MAM√O
6787,MAMONA
6788,"MANDIOCA (AIPIM MACAXEIRA)"
6789,"MANDIOQUINHA (BATATA: BAROA SALSA AIPO)"
6790,MANGA
6791,MANJERIC√O
6792,MARACUJ¡
6793,MARMELO
6794,MAXIXE
6795,MELANCIA
6796,MEL√O
6797,MENTA
6798,MILHETO
6799,MILHO
6800,MORANGO
6801,MOSTARDA
6802,MURICI
6803,NABO
6804,NECTARINA
6805,N SPERA
6806,"OLIVA (AZEITONA)"
6807,"OUTRAS LAVOURAS"
6808,"OUTROS PRODUTOS"
6809,PAIN«O
6810,PALMA
6811,PALMEIRA
6812,PEPINO
6813,PERA
6814,P SSEGO
6815,"PIA«ABA (PIA«AVA)"
6816,PIMENTA
6817,PIMENTA-DO-REINO
6818,PIMENT√O
6819,PINHA
6820,PIXURIM
6821,"PLANTAS ORNAMENTAIS"
6822,POMELO
6823,"PORONGO (CUIA,CABA«A)"
6824,PUPUNHA
6825,QUIABO
6826,"QUIUÕ (KIWI)"
6827,RABANETE
6828,RAMI
6829,REPOLHO
6830,R⁄CULA
6831,SALSA
6832,SERINGUEIRA
6833,SERRALHA
6834,SOJA
6835,SORGO
6836,TANGERINA
6837,TANINO
6838,TAPEREB¡
6839,TOMATE
6840,TORANJA
6841,TRIGO
6842,TRITICALE
6843,TUCUM
6844,TUNGUE
6845,URUCUM
6846,UVA
6847,VAGEM
6848,VIME
7189," PENDENTE DE CLASSIFICA«√O"
10426,"LAVOURA DE FLORES NAO IDENTIFICADAS IRRIGAD - ATER"
10427,"LAVOURA DE BERINJELA IRRIGADA - ATER"
10428,"LAVOURA DE JIL” IRRIGADO - ATER"
11054,"PROAGRO MAIS"
11055,"PROAGRO TRAD"
3403,"MINIST…RIO DA AGRICULTURA"
3453,TRADICIONAL
3454,MAIS
3455,"RECURSO TRADICIONAL"
3456,"RECURSO MAIS"
6849,ABACATE
6850,ABACAXI
6851,AB”BORA-MORANGA
6852,ABOBRINHA
6853,A«AFR√O
6854,A«AÕ
6855,ACELGA
6856,ACEROLA
6857,"AGAVE (SISAL)"
6858,AGRI√O
6859,AIPO
6860,ALCACHOFRA
6861,ALFACE
6862,ALFAFA
6863,"ALGICULTURA (Cultivo de Algas)"
6864,ALGOD√O
6865,ALHO
6866,ALMEIR√O
6867,AMEIXA
6868,AMENDOIM
6869,AMORA
6870,ANDIROBA
6871,ARROZ
6872,ASPARGO
6873,ATEMOIA
6874,AVEIA
6875,AZEVEM
6876,BABA«U
6877,BANANA
6878,BATATA-DOCE
6879,BATATA-INGLESA
6880,BERINJELA
6881,BETERRABA
6882,"BR”COLOS (BR”COLIS)"
6883,"BUCHA VEGETAL"
6884,CACAU
6885,CAF…
6886,CAJU
6887,CANA-DE-A«UCAR
6888,CANOLA
6889,CAPIM
6890,CAQUI
6891,CAR¡
6892,CARAMBOLA
6893,CARNA⁄BA
6894,CASTANHA-DO-BRASIL
6895,CEBOLA
6896,"CEBOLINHA VERDE"
6897,CEDRO
6898,CENOURA
6899,CENTEIO
6900,CEVADA
6901,CH¡
6902,CHERIMOIA
6903,CHICORIA
6904,CHUCHU
6905,CIDRA
6906,COCO
6907,COCO-DA-BAIA
6908,COENTRO
6909,COGUMELO
6910,COLZA
6911,COUVE
6912,COUVE-FLOR
6913,CRAVO
6914,CRIS¬NTEMO
6915,CUPUA«U
6916,CURAU¡
6917,DEND 
6918,"ERVA CIDREIRA (MELISSA)"
6919,ERVA-MATE
6920,ERVILHA
6921,ESCAROLA
6922,ESPINAFRE
6923,EST…VIA
6924,FAVA
6925,FEIJ√O
6926,FIGO
6927,FLORES
6928,FRUTAS
6929,FUMO
6930,GENGIBRE
6931,GERGELIM
6932,GIRASSOL
6933,GOIABA
6934,GRAMA
6935,GR√O-DE-BICO
6936,GRAVIOLA
6937,GUARAN¡
6938,GUARIROBA
6939,HORTALI«AS
6940,HORTEL√
6941,INHAME
6942,JABUTICABA
6943,JIL”
6944,JUTA
6945,LARANJA
6946,LENTILHA
6947,"LICHIA (LECHIA)"
6948,LIMA
6949,LIM√O
6950,LINHO
6951,L⁄PULO
6952,MA«√
6953,"MACAD¬MIA (NOZ-MACAD¬MIA)"
6954,MADEIRA
6955,MALVA
6956,MAM√O
6957,MAMONA
6958,"MANDIOCA (AIPIM MACAXEIRA)"
6959,"MANDIOQUINHA (BATATA: BAROA SALSA AIPO)"
6960,MANGA
6961,MANJERIC√O
6962,MARACUJ¡
6963,MARMELO
6964,MAXIXE
6965,MELANCIA
6966,MEL√O
6967,MENTA
6968,MILHETO
6969,MILHO
6970,MORANGO
6971,MOSTARDA
6972,MURICI
6973,NABO
6974,NECTARINA
6975,N SPERA
6976,"OLIVA (AZEITONA)"
6977,"OUTRAS LAVOURAS"
6978,"OUTROS PRODUTOS"
6979,PAIN«O
6980,PALMA
6981,PALMEIRA
6982,PEPINO
6983,PERA
6984,P SSEGO
6985,"PIA«ABA (PIA«AVA)"
6986,PIMENTA
6987,PIMENTA-DO-REINO
6988,PIMENT√O
6989,PINHA
6990,PIXURIM
6991,"PLANTAS ORNAMENTAIS"
6992,POMELO
6993,"PORONGO (CUIA,CABA«A)"
6994,PUPUNHA
6995,QUIABO
6996,"QUIUÕ (KIWI)"
6997,RABANETE
6998,RAMI
6999,REPOLHO
7000,R⁄CULA
7001,SALSA
7002,SERINGUEIRA
7003,SERRALHA
7004,SOJA
7005,SORGO
7006,TANGERINA
7007,TANINO
7008,TAPEREB¡
7009,TOMATE
7010,TORANJA
7011,TRIGO
7012,TRITICALE
7013,TUCUM
7014,TUNGUE
7015,URUCUM
7016,UVA
7017,VAGEM
7018,VIME
7191," PENDENTE DE CLASSIFICA«√O"
13955,"DEMANDA DIRAG"
2292,TRADICIONAL
2295,MAIS
7019,ABACATE
7020,ABACAXI
7021,AB”BORA-MORANGA
7022,ABOBRINHA
7023,A«AFR√O
7024,A«AÕ
7025,ACELGA
7026,ACEROLA
7027,"AGAVE (SISAL)"
7028,AGRI√O
7029,AIPO
7030,ALCACHOFRA
7031,ALFACE
7032,ALFAFA
7033,"ALGICULTURA (Cultivo de Algas)"
7034,ALGOD√O
7035,ALHO
7036,ALMEIR√O
7037,AMEIXA
7038,AMENDOIM
7039,AMORA
7040,ANDIROBA
7041,ARROZ
7042,ASPARGO
7043,ATEMOIA
7044,AVEIA
7045,AZEVEM
7046,BABA«U
7047,BANANA
7048,BATATA-DOCE
7049,BATATA-INGLESA
7050,BERINJELA
7051,BETERRABA
7052,"BR”COLOS (BR”COLIS)"
7053,"BUCHA VEGETAL"
7054,CACAU
7055,CAF…
7056,CAJU
7057,CANA-DE-A«UCAR
7058,CANOLA
7059,CAPIM
7060,CAQUI
7061,CAR¡
7062,CARAMBOLA
7063,CARNA⁄BA
7064,CASTANHA-DO-BRASIL
7065,CEBOLA
7066,"CEBOLINHA VERDE"
7067,CEDRO
7068,CENOURA
7069,CENTEIO
7070,CEVADA
7071,CH¡
7072,CHERIMOIA
7073,CHICORIA
7074,CHUCHU
7075,CIDRA
7076,COCO
7077,COCO-DA-BAIA
7078,COENTRO
7079,COGUMELO
7080,COLZA
7081,COUVE
7082,COUVE-FLOR
7083,CRAVO
7084,CRIS¬NTEMO
7085,CUPUA«U
7086,CURAU¡
7087,DEND 
7088,"ERVA CIDREIRA (MELISSA)"
7089,ERVA-MATE
7090,ERVILHA
7091,ESCAROLA
7092,ESPINAFRE
7093,EST…VIA
7094,FAVA
7095,FEIJ√O
7096,FIGO
7097,FLORES
7098,FRUTAS
7099,FUMO
7100,GENGIBRE
7101,GERGELIM
7102,GIRASSOL
7103,GOIABA
7104,GRAMA
7105,GR√O-DE-BICO
7106,GRAVIOLA
7107,GUARAN¡
7108,GUARIROBA
7109,HORTALI«AS
7110,HORTEL√
7111,INHAME
7112,JABUTICABA
7113,JIL”
7114,JUTA
7115,LARANJA
7116,LENTILHA
7117,"LICHIA (LECHIA)"
7118,LIMA
7119,LIM√O
7120,LINHO
7121,L⁄PULO
7122,MA«√
7123,"MACAD¬MIA (NOZ-MACAD¬MIA)"
7124,MADEIRA
7125,MALVA
7126,MAM√O
7127,MAMONA
7128,"MANDIOCA (AIPIM MACAXEIRA)"
7129,"MANDIOQUINHA (BATATA: BAROA SALSA AIPO)"
7130,MANGA
7131,MANJERIC√O
7132,MARACUJ¡
7133,MARMELO
7134,MAXIXE
7135,MELANCIA
7136,MEL√O
7137,MENTA
7138,MILHETO
7139,MILHO
7140,MORANGO
7141,MOSTARDA
7142,MURICI
7143,NABO
7144,NECTARINA
7145,N SPERA
7146,"OLIVA (AZEITONA)"
7147,"OUTRAS LAVOURAS"
7148,"OUTROS PRODUTOS"
7149,PAIN«O
7150,PALMA
7151,PALMEIRA
7152,PEPINO
7153,PERA
7154,P SSEGO
7155,"PIA«ABA (PIA«AVA)"
7156,PIMENTA
7157,PIMENTA-DO-REINO
7158,PIMENT√O
7159,PINHA
7160,PIXURIM
7161,"PLANTAS ORNAMENTAIS"
7162,POMELO
7163,"PORONGO (CUIA,CABA«A)"
7164,PUPUNHA
7165,QUIABO
7166,"QUIUÕ (KIWI)"
7167,RABANETE
7168,RAMI
7169,REPOLHO
7170,R⁄CULA
7171,SALSA
7172,SERINGUEIRA
7173,SERRALHA
7174,SOJA
7175,SORGO
7176,TANGERINA
7177,TANINO
7178,TAPEREB¡
7179,TOMATE
7180,TORANJA
7181,TRIGO
7182,TRITICALE
7183,TUCUM
7184,TUNGUE
7185,URUCUM
7186,UVA
7187,VAGEM
7188,VIME
7190," PENDENTE DE CLASSIFICA«√O"
10429,"LAVOURA DE FLORES NAO IDENTIFICADAS IRRIGAD - ATER"
10430,"LAVOURA DE BERINJELA IRRIGADA - ATER"
10431,"LAVOURA DE JIL” IRRIGADO - ATER"
11056,"PROAGRO MAIS"
11057,"PROAGRO TRAD"
12834,"ENVIO ¿ CER"
9402," PENDENTE DE CLASSIFICA«√O"
9403,ABACATE
9404,ABACAXI
9405,AB”BORA-MORANGA
9406,ABOBRINHA
9407,A«AFR√O
9408,A«AÕ
9409,ACELGA
9410,ACEROLA
9411,"AGAVE (SISAL)"
9412,AGRI√O
9413,AIPO
9414,ALCACHOFRA
9415,ALFACE
9416,ALFAFA
9417,"ALGICULTURA (CULTIVO DE ALGAS)"
9418,ALGOD√O
9419,ALHO
9420,ALMEIR√O
9421,AMEIXA
9422,AMENDOIM
9423,AMORA
9424,ANDIROBA
9425,ARROZ
9426,ASPARGO
9427,ATEMOIA
9428,AVEIA
9429,AZEVEM
9430,BABA«U
9431,BANANA
9432,BATATA-DOCE
9433,BATATA-INGLESA
9434,BERINJELA
9435,BETERRABA
9436,"BR”COLOS (BR”COLIS)"
9437,"BUCHA VEGETAL"
9438,CACAU
9439,CAF…
9440,CAJU
9441,CANA-DE-A«UCAR
9442,CANOLA
9443,CAPIM
9444,CAQUI
9445,CAR¡
9446,CARAMBOLA
9447,CARNA⁄BA
9448,CASTANHA-DO-BRASIL
9449,CEBOLA
9450,"CEBOLINHA VERDE"
9451,CEDRO
9452,CENOURA
9453,CENTEIO
9454,CEVADA
9455,CH¡
9456,CHERIMOIA
9457,CHICORIA
9458,CHUCHU
9459,CIDRA
9460,COCO
9461,COCO-DA-BAIA
9462,COENTRO
9463,COGUMELO
9464,COLZA
9465,COUVE
9466,COUVE-FLOR
9467,CRAVO
9468,CRIS¬NTEMO
9469,CUPUA«U
9470,CURAU¡
9471,DEND 
9472,"ERVA CIDREIRA (MELISSA)"
9473,ERVA-MATE
9474,ERVILHA
9475,ESCAROLA
9476,ESPINAFRE
9477,EST…VIA
9478,FAVA
9479,FEIJ√O
9480,FIGO
9481,FLORES
9482,FRUTAS
9483,FUMO
9484,GENGIBRE
9485,GERGELIM
9486,GIRASSOL
9487,GOIABA
9488,GRAMA
9489,GR√O-DE-BICO
9490,GRAVIOLA
9491,GUARAN¡
9492,GUARIROBA
9493,HORTALI«AS
9494,HORTEL√
9495,INHAME
9496,JABUTICABA
9497,JIL”
9498,JUTA
9499,LARANJA
9500,LENTILHA
9501,"LICHIA (LECHIA)"
9502,LIMA
9503,LIM√O
9504,LINHO
9505,L⁄PULO
9506,MA«√
9507,"MACAD¬MIA (NOZ-MACAD¬MIA)"
9508,MADEIRA
9509,MALVA
9510,MAM√O
9511,MAMONA
9512,"MANDIOCA (AIPIM MACAXEIRA)"
9513,"MANDIOQUINHA (BATATA: BAROA SALSA AIPO)"
9514,MANGA
9515,MANJERIC√O
9516,MARACUJ¡
9517,MARMELO
9518,MAXIXE
9519,MELANCIA
9520,MEL√O
9521,MENTA
9522,MILHETO
9523,MILHO
9524,MORANGO
9525,MOSTARDA
9526,MURICI
9527,NABO
9528,NECTARINA
9529,N SPERA
9530,"OLIVA (AZEITONA)"
9531,"OUTRAS LAVOURAS"
9532,"OUTROS PRODUTOS"
9533,PAIN«O
9534,PALMA
9535,PALMEIRA
9536,PEPINO
9537,PERA
9538,P SSEGO
9539,"PIA«ABA (PIA«AVA)"
9540,PIMENTA
9541,PIMENTA-DO-REINO
9542,PIMENT√O
9543,PINHA
9544,PIXURIM
9545,"PLANTAS ORNAMENTAIS"
9546,POMELO
9547,"PORONGO (CUIA,CABA«A)"
9548,PUPUNHA
9549,QUIABO
9550,"QUIUÕ (KIWI)"
9551,RABANETE
9552,RAMI
9553,REPOLHO
9554,R⁄CULA
9555,SALSA
9556,SERINGUEIRA
9557,SERRALHA
9558,SOJA
9559,SORGO
9560,TANGERINA
9561,TANINO
9562,TAPEREB¡
9563,TOMATE
9564,TORANJA
9565,TRIGO
9566,TRITICALE
9567,TUCUM
9568,TUNGUE
9569,URUCUM
9570,UVA
9571,VAGEM
9572,VIME
10423,"LAVOURA DE FLORES NAO IDENTIFICADAS IRRIGAD - ATER"
